108D2002     627D2001     43T2000      2000 2   15586  3.0 4    15671 32 2 2 3 1    15749  50 4 4 3 2 2002  2  85 163  . 2003  . 12  .  3
108D2003     540D2000     76T1997      1997 2   15936  5.0 1    16001 23 3 3 3 1    16116  40 2 2 2 2 2003  6  65 180  . 2005  . 24  .  8
108D2005     GMF 074      35D2004      2004 2   16668  4.5 1    16804 30 3 3 2 1    16853  38 3 3 2 2 2005  1 136 185  . 2007  . 23  .  3
108S2006     507S2003     103S2001     2001 2   17053  5.0 1    17127 24 3 1 3 1    17197  29 3 3 3 1 2006  5  74 144  .    .  .  .  .  .
109D1997     554S1993     98D1994      1994 2   13744  5.5 1    13840 27 3 3 3 1    13947  51 4 4 3 2 1997  3  96 203  . 1999  . 25  .  5
109D1998     572D1996     3D1996       1996 2   14120  4.0 2    14204 22 2 2 2 1    14312  43 3 4 3 2 1998  2  84 192  . 2000  . 23  .  4
109D1999     616D1997     71D1997      1997 2   14479  5.0 1    14547 19 2 2 2 1    14660  50 3 3 3 2 1999  2  68 181  . 2001  . 23  .  4
109D2001     650D2000     79D1996      1996 2   15216  4.2 1    15306 25 2 2 2 1    15383  35 2 2 2 2 2001  5  90 167  .    .  .  .  .  .
109S2003     504S2002     118S2000     2000 2   15936  9.0 1    16001 25 2 2 2 1    16116  51 4 4 4 1 2003  3  65 180  .    .  .  .  .  .
109S2004     561S2003     12D2001      2001 2   16300  8.0 1    16409 49 4 4 4 1    16485  51 3 4 3 1 2004  3 109 185  .    .  .  .  .  .
10D1993      92-035       54T1991      1991 2   12250  4.0 1    12367 33 4 4 3 1    12472  37 3 3 3 2 1993  2 117 222  . 1996  . 37  .  5
10D1994      554S1993     32D1992      1992 2   12636  4.0 1    12719 30 3 3 3 1    12822  45 3 4 2 2 1994  2  83 186  . 1996  . 24  .  4
10D1995      4035         15D1991      1991 2   13000  5.0 1    13095 44 5 5 5 1    13207  56 5 5 4 2 1995  4  95 207  .    .  .  .  .  .
10D1996      527D1995     6S1993       1993 2   13356  3.0 1    13461 21 1 1 1 1    13573  35 2 2 2 2 1996  3 105 217  .    .  .  .  .  .
10D1998      581D1996     56S1993      1993 2   14089  5.0 1    14204 36 4 4 4 1    14312  46 3 3 3 2 1998  5 115 223  .    .  .  .  .  .
10D1999      616D1997     150D1996     1996 2   14453  4.5 1    14526 25 4 4 4 1    14660  50 3 4 3 2 1999  3  73 207  . 2001  . 26  .  5
10D2000      577S1998     56S1993      1993 2   14830  5.0 2    14939 37 3 3 3 1    15001  44 3 3 3 2 2000  7 109 171  .    .  .  .  .  .
10S2006      602D2005     74D2004      2004 2   17021  5.0 1    17127 37 2 2 3 1    17197  40 3 3 4 1 2006  2 106 176  .    .  .  .  .  .
10T1997      4397         17D1994      1994 2   13728  4.6 1    13840 26 2 3 3 1    13947  45 4 4 4 3 1997  3 112 219  . 1999  . 24  .  5
10T2004      502S2002     62D2001      2001 2   16285  4.0 1    16409 30 4 4 4 1    16485  41 3 3 3 3 2004  3 124 200  . 2006  . 24  .  5
110D1997     554S1993     98D1994      1994 2   13744  6.0 1    13840 24 2 2 3 1    13947  38 3 2 3 2 1997  3  96 203  .    .  .  .  .  .
110D1999     616D1997     71D1997      1997 2   14479  4.5 1    14547 19 2 2 2 1    14660  47 2 2 2 2 1999  2  68 181  . 2001  . 25  .  4
110D2000     563S1999     9T1993       1993 2   14842  5.0 1    14939 24 1 1 1 1    15001  37 2 3 3 2 2000  7  97 159  .    .  .  .  .  .
110D2003     514D2001     94T2000      2000 2   15936  2.7 1    16001 19 1 2 2 1    16116  44 2 4 4 2 2003  3  65 180  . 2005  . 24  .  5
110D2004     561S2003     75S1999      1999 2   16300  7.0 1    16409 39 4 4 3 1    16485  50 4 2 4 2 2004  5 109 185  .    .  .  .  .  .
110S1996     574S1995     15D1993      1993 2   13370  6.5 1    13461 41 4 5 4 1    13573  56 4 5 4 1 1996  3  91 203  . 1999  . 37  .  6
110S1998     524T1996     75D1995      1995 2   14120  6.0 4    14204 23 2 2 2 1    14312  45 3 5 4 1 1998  3  84 192  .    .  .  .  .  .
110S2002     627D2001     27D1999      1999 2   15587  8.1 2    15671 31 2 2 2 1    15749  40 3 4 3 1 2002  3  84 162  .    .  .  .  .  .
110S2006     602D2005     120D2004     2004 2   17055  6.0 1    17127 27 3 3 3 1    17197  38 4 4 4 1 2006  2  72 142  .    .  .  .  .  .
110S2007     572S2006     133S2005     2005 2   17371  6.0 1    17477 39 4 4 3 1    17539  53 5 5 5 1 2007  2 106 168  .    .  .  .  .  .
111D1998     581D1996     49D1995      1995 2   14123  5.2 2    14204 24 2 2 3 1    14312  53 4 4 4 2 1998  3  81 189  .    .  .  .  .  .
111D1999     595D1997     32D1992      1992 2   14480  6.0 2    14547 32 4 4 4 1    14660  64 4 4 4 2 1999  7  67 180  . 2002  . 36  . 10
111D2000     563S1999     9T1993       1993 2   14842  5.0 1    14939 29 1 1 1 1    15001  40 2 3 3 2 2000  7  97 159  .    .  .  .  .  .
111D2003     514D2001     94T2000      2000 2   15936  2.7 2    16048 38 4 4 4 1    16116  53 3 4 4 2 2003  3 112 180  .    .  .  .  .  .
111D2005     616D2004     38S2002      2002 2   16668  6.0 1    16804 28 2 2 2 1    16853  33 4 3 3 2 2005  3 136 185  . 2007  . 23  .  5
111S1996     4035         30D1994      1994 2   13370  5.0 1    13461 34 3 3 3 1    13573  50 3 4 4 1 1996  2  91 203  . 1998  . 24  .  4
111S2001     595D1997     22D1997      1997 2   15217  7.0 1    15306 34 4 4 4 1    15383  50 3 4 3 1 2001  4  89 166  . 2003  . 24  .  6
111S2002     514D2001     152D1999     1999 2   15589  5.9 2    15671 26 2 3 4 1    15749  29 2 2 2 1 2002  3  82 160  .    .  .  .  .  .
112D1996     3721         22D1992      1992 2   13370  5.0 5    13461 24 2 2 2 1    13573  37 2 2 2 2 1996  4  91 203  . 1998  . 25  .  6
112D1997     4397         45D1995      1995 2   13744  5.0 1    13840 24 2 2 2 1    13947  43 3 3 3 2 1997  2  96 203  .    .  .  .  .  .
112D1998     581D1996     49D1995      1995 2   14123  5.7 2    14204 25 2 2 2 1    14312  53 4 5 3 2 1998  3  81 189  . 2000  . 23  .  5
112D1999     595D1997     32D1992      1992 2   14480  4.0 1    14547 23 4 5 4 1    14660  57 3 4 3 2 1999  7  67 180  . 2001  . 24  .  9
112D2000     506D1999     41D1997      1997 2   14843  5.5 1    14939 28 2 3 3 1    15001  36 2 2 2 2 2000  3  96 158  . 2002  . 24  .  5
112D2001     595D1997     60T1997      1997 2   15217  5.0 1    15306 35 3 4 4 1    15383  48 3 4 3 2 2001  4  89 166  . 2003  . 24  .  6
112D2003     502S2002     1D2000       2000 2   15936  4.5 1    16001 23 2 2 3 1    16116  47 3 4 4 2 2003  3  65 180  .    .  .  .  .  .
112D2006     555D2005     17S2000      2000 2   17055  3.0 3    17127 21 2 2 2 1    17197  30 2 3 2 2 2006  6  72 142  .    .  .  .  .  .
112S2002     563D2000     3D1994       1994 2   15590  6.1 2    15671 36 3 3 3 1    15749  46 3 4 4 1 2002  8  81 159  .    .  .  .  .  .
112S2004     504S2002     22S2003      2003 2   16300  4.0 1    16409 30 3 3 3 1    16485  35 2 2 2 1 2004  1 109 185  .    .  .  .  .  .
112S2005     GMF 074      23D2002      2002 2   16668  7.0 1    16804 35 3 3 3 1    16853  43 4 3 5 1 2005  3 136 185  .    .  .  .  .  .
113D1996     3721         22D1992      1992 2   13370  6.0 1    13461 36 3 3 3 1    13573  53 4 3 3 2 1996  4  91 203  . 1998  . 23  .  6
113D1997     563S1994     3D1992       1992 2   13745  5.1 1    13840 24 2 2 3 1    13947  48 4 4 4 2 1997  5  95 202  . 1999  . 24  .  7
113D2000     506D1999     41D1997      1997 2   14843  4.5 1    14939 35 3 3 3 1    15001  42 3 4 3 2 2000  3  96 158  . 2002  . 24  .  5
113D2003     502S2002     1D2000       2000 2   15936  5.2 1    16001 25 2 2 2 1    16116  48 3 3 3 2 2003  3  65 180  . 2005  . 24  .  5
113S1998     3721         60D1996      1996 2   14124  6.5 2    14204 29 3 3 3 1    14312  49 3 3 3 1 1998  2  80 188  . 2000  . 23  .  4
113S2004     507S2003     26D2001      2001 2   16300  5.0 1    16409 37 3 3 3 1    16485  42 2 2 3 1 2004  3 109 185  .    .  .  .  .  .
113T1999     574S1997     36D1994      1994 2   14481  5.0 1    14547 24 2 3 3 1    14660  61 3 4 4 3 1999  5  66 179  .    .  .  .  .  .
114D2000     522D1998     48S1993      1993 2   14843  6.0 1    14939 29 2 2 2 1    15001  39 3 3 3 2 2000  7  96 158  . 2001  . 12  .  8
114D2001     529T2000     26D1996      1996 2   15218  4.5 1    15306 26 2 2 2 1    15383  35 2 3 3 2 2001  5  88 165  . 2004  . 35  .  8
